Session 1 - Cabin Activity Sorting 2026 - A
,Monday,,,,,Tuesday,,,,,Wednesday,,,,,Thursday,,,,,Friday

M1,Activity,Decorate the cabin,,FALSE,34bbaec74072,Activity,Block Printing Shirts,,FALSE,2a57abbec4f9,Activity,CE: Mermaid Treasure Hunt,,FALSE,1b09d2003dcd,Activity,Cabin Fort,,FALSE,4d8e9d14fc64,Activity,Crazy Canoe with Squirt Guns,,FALSE,07812f0d981a
,Description,,,N,,Description,,,N,,Description,,,N,,Description,We make a fort inside the cabin,,N,,Description,,,N
,Materials,"paint, paint brushes, canvases, lights, flowers, cardstock paper, scissors, pens, cups for water, bean bag chairs",,FALSE,,Materials,"Block Printing materials, white shirts",,FALSE,,Materials,,,FALSE,,Materials,"Pillows (a lot), blankets (a lot), tarps (2), fairy lights, flowers",,FALSE,,Materials,"canoes, squirt guns (6)",,FALSE
,Location,Gaga Ball,,FALSE,,Location,Blockprinting,,FALSE,,Location,Secret Pool,,FALSE,,Location,Manzi,,FALSE,,Location,Lake - Outer 1,,FALSE
,Notes,requested Samaya,,FALSE,,Notes,,,FALSE,,Notes,SCUBA & Lifeguard,,FALSE,,Notes,could be nice to have a hero to add some WWS,,FALSE,,Notes,"crazy canoe hero (Diya requested), lifeguard",,FALSE
,HEROES,Samaya,,,,HEROES,,,,,HEROES,LIFEGUARD,,,,HEROES,Village Heroes,,,,HEROES,"Diya, Crazy Canoe, LIFEGUARD, Canoe"
M2,Activity,Pajama Party Beadworking in hammocks,,FALSE,9fc0487c97cd,Activity,Decorating Shirts for the cabin,,FALSE,f39c000581e2,Activity,CE: Liquid Nitrogen Lab,,FALSE,da4b64a61b43,Activity,Slip n' Fort,,FALSE,452d00b8c80a,Activity,Henna at Hot Rocks,,FALSE,1bca9e65ff32
,Description,,,N,,Description,,,N,,Description,,,N,,Description,Build a fort and slip n' slide out of it,,N,,Description,,,N
,Materials,"face masks, beads, string, scissors, super glue",,FALSE,,Materials,"fabric markers, paint brushes, fabric paint (light pink, green, yellow, orange, blue, purple, red, teal, light blue, dark blue, shirts",,FALSE,,Materials,,,FALSE,,Materials,"Towels OK, string, mats, tarps, cardboard, tape, slip n slide, sprinkler",,FALSE,,Materials,"henna, hair chalk, cards",,FALSE
,Location,Hammock Village,,FALSE,,Location,Craft Shack 1,,FALSE,,Location,Dining Area 1,,FALSE,,Location,Manzi,,FALSE,,Location,Hot Rocks,,FALSE
,Notes,,,FALSE,,Notes,,,FALSE,,Notes,Liquid Nitrogen HERO,,FALSE,,Notes,,,FALSE,,Notes,,,FALSE
,HEROES,,,,,HEROES,,,,,HEROES,Liquid Nitrogen,,,,HEROES,,,,,HEROES
M3,Activity,Become professional tshirt designers,,FALSE,221dc8fe5fa0,Activity,become professional dog trainers,,FALSE,84ebc50fd998,Activity,CE: Liquid Nitrogen Lab,,FALSE,b1419c1fd17a,Activity,Become professional tshirt designers,,FALSE,48b8385d2931,Activity,Dig fest,,FALSE,cba4e310675b
,Description,Create teeshirts that represent our friendship,,N,,Description,Teach a dog tricks,,N,,Description,,,N,,Description,Create teeshirts that represent our friendship,,N,,Description,3,,N
,Materials,"6 white tshirts (s), fabric markers, fabric paint, tie dye",,FALSE,,Materials,"dog, treats",,FALSE,,Materials,,,FALSE,,Materials,"6 white tshirts (s), fabric markers, fabric paint, tie dye",,FALSE,,Materials,"Picnic, Picnic blanket, 5 shovels",,FALSE
,Location,Craft Shack 1,,FALSE,,Location,Dining Area 2,,FALSE,,Location,Dining Area 2,,FALSE,,Location,Craft Shack 1,,FALSE,,Location,The Falls - Bottom,,FALSE
