Cabin Act Sorting - S4W1
,Monday,,,,,Tuesday,,,,,Wednesday,,,,,Thursday,,,,,Friday,,,,,Extra,,,,,Extra,,,,,Extra

M1,Activity,Obstacle course on the lake,Van,FALSE,c19a58db97f7,Activity,Picnic at the falls,Van,FALSE,bcde321913de,Activity,Ice bucket and watercolor,Van,FALSE,56e99299bc60,Activity,Decorate Brian in costumes and blindfold,Van,FALSE,b25f580c094c,Activity,Make a smoothie,Van,FALSE,8c8cd49dc779,Activity,,Van,FALSE,,Activity,,Van,FALSE,,Activity,,Van,FALSE
,Description,doing an obstacle course on the lake,Risk,N,,Description,"spa day, henna, face masks friendship bracelets, etc.",Risk,N,,Description,Do the ice bucket challenge with leah and do some water color by bleeding paint onto a painting with the ice,Risk,N,,Description,"paint brians toes, his head, and put him in costume",Risk,N,,Description,"VL FRUIT IN COMMUNITY ROOM,make a smoothie fruits etc (Not on coco's night)",Risk,N,,Description,,Risk,N,,Description,,Risk,N,,Description,,Risk,N
,Materials,,Armory,FALSE,,Materials,"henna, face, masks, friendship bracelet string",Armory,FALSE,,Materials,"water color paints, Bucket, cardstock/thick paper that the ice can bleed color into -- maybe they do a flag/fabric instead?",Armory,FALSE,,Materials,"paint gems and blindfold, costume (self-collected)",Armory,FALSE,,Materials,,Armory,FALSE,,Materials,,Armory,FALSE,,Materials,,Armory,FALSE,,Materials,,Armory,FALSE
,Location,Lake - Outer 1,Picnic,FALSE,,Location,The Falls - Top,Picnic,FALSE,,Location,Manzi,Picnic,FALSE,,Location,Dining Area 1,Picnic,FALSE,,Location,Dining Area 1,Picnic,FALSE,,Location,,Picnic,FALSE,,Location,,Picnic,FALSE,,Location,,Picnic,FALSE
,Notes,5 - Dinind area,Food,FALSE,,Notes,5,Food,FALSE,,Notes,,Food,FALSE,,Notes,Brian needed,Food,FALSE,,Notes,4,Food,FALSE,,Notes,,Food,FALSE,,Notes,,Food,FALSE,,Notes,,Food,FALSE
,HEROES,,,,,HEROES,,,,,HEROES,,,,,HEROES,Brian,,,,HEROES,,,,,HEROES,,,,,HEROES,,,,,HEROES
M2,Activity,Paparazi all cabin acts during cabin act,Van,FALSE,5553696e8d87,Activity,Cookery show by Aliens,Van,FALSE,eb340068566c,Activity,Adopt a watermelon and give it a spa day,Van,FALSE,d071c8951ede,Activity,Execute and consume adopted watermelon,Van,FALSE,3a5232c1b196,Activity,Make (Briani?) into Edna Mode,Van,FALSE,d17c47d9603e,Activity,,Van,FALSE,,Activity,,Van,FALSE,,Activity,,Van,FALSE
,Description,paparazzi all cabins + counselors during cabin act and make a magazine out of it.,Risk,N,,Description,aliens (us) teach a puppet audience how to make chocolate chip cookies in out alien language.,Risk,N,,Description,adopt and decorate a watermelon then pamper it (As well as ourselves),Risk,N,,Description,"Chop watermelon w/katana , put it over ice.",Risk,N,,Description,"Dress Brian up as edna, dress him up and do a fashion show",Risk,N,,Description,,Risk,N,,Description,,Risk,N,,Description,,Risk,N
,Materials,"cameras, microphone, notepad, pens",Armory,FALSE,,Materials,"mixing bowl, measuring cups, measuring spoons, whisk 1 ½ cups (280g) packed light brown sugar
¾ cup (170g) vegan butter room temperature (note 1)
3 tablespoons (45g) dairy-free milk or dairy-free yogurt, room temperature (note 2)
1 teaspoon vanilla extract
2 ⅓ cups (290g) all-purpose plain flour spooned and leveled (note 3)
½ teaspoon baking soda
Pinch of salt if using unsalted butter
1 cup (170g) roughly chopped vegan chocolate or chocolate chips plus extra to top the cookies, if desired - 

Recipe printed",Armory,FALSE,,Materials,"Paint, googly eyes, henna, fand and body glitter, skincare headbands, nail poish, face maskes",Armory,FALSE,,Materials,Katana,Armory,FALSE,,Materials,"hair to make a wig, big glasses, walking stick, red carpet",Armory,FALSE,,Materials,,Armory,FALSE,,Materials,,Armory,FALSE,,Materials,,Armory,FALSE
,Location,roaming,Picnic,FALSE,,Location,Dining Area 1,Picnic,FALSE,,Location,Hot Rocks,Picnic,FALSE,,Location,Guillotine,Picnic,FALSE,,Location,Dining Area 2,Picnic,FALSE,,Location,,Picnic,FALSE,,Location,,Picnic,FALSE,,Location,,Picnic,FALSE
,Notes,Maybe a media hero if available,Food,FALSE,,Notes,5-5-5-4-4 (PIP + Heroes as audience) but not on coco's,Food,FALSE,,Notes,5-5-5-5-1,Food,FALSE,,Notes,"5-5-4.5-44, katana hero",Food,FALSE,,Notes,Brian,Food,FALSE,,Notes,,Food,FALSE,,Notes,,Food,FALSE,,Notes,,Food,FALSE
