Session 5 - Cabin Act Sorting 2026 - A
,Monday,,,,,Tuesday,,,,,Wednesday,,,,,Thursday,,,,,Friday

M1,Activity,Paint Balloon Cabin mural,,,,Activity,Kidnap Counselor,,,,Activity,Scary Haunted House/Maze,,,,Activity,Doggy Day Spa,,,,Activity,Cabin escape room
,Description,Decorate and Throw paint balloons at a tapestry to create a cabin banner,,,,Description,Kidnap counselor and spray with water guns/balloons,,,,Description,M1 sets up a scary maze for cabins to walk through,,,,Description,Give Teddy a spa day,,,,Description,"Manzi 1 campers escape from cabin, escape room style"
,Materials,"Paint balloons, paint, fabric markers, tapestry",,,,Materials,"Water guns x6, wheel of doom, blindfold x1, aztec death whistle",,,,Materials,"scary costumes (self-supplied), face paint, tarps x3 for setting up maze, scray props, smoke machine",,,,Materials,"Teddy, dog soap, pool, water, dog nail polish",,,,Materials,"locks, escape room puzzles (found online?)"
,Location,Manzi,,,,Location,Back 40 - Blacksmithing,,,,Location,Back 40 1,,,,Location,Gaga Ball,,,,Location,Manzi
,Notes,,,,,Notes,"Wheel of Doom hero, driver",,,,Notes,HERO support?,,,,Notes,Teddy/Lisa requested,,,,Notes
,HEROES,,,,,HEROES,Driver,,,,HEROES,Village Heroes,,,,HEROES,Lisa,,,,HEROES
M2,Activity,Water Fight,,,,Activity,Paintball Mural & Decor,,,,Activity,Pizza murals,,,,Activity,RH: Watermelon Slushie,,,,Activity,Spa Day at hot rocks
,Description,"hidden around are water weapon stations and we find the weapons and have a water fight. Rosie will be the ""base"" because she cannot run due to injury, so we need a kiddie pool",,,,Description,Shooting Paintball at a canvas with painters tape design so we have decor for the cabin and then making decorations if we have time after,,,,Description,Create art with pizza toppings to have beautiful artistic pizzas,,,,Description,"They want to chop a watermelon in half, carve out one half into a bowl, and make slushies to put in the bowl and ladle out into cups",,,,Description,"having a chill spa day with face masks, nail polish, henna, and some playing in the water"
,Materials,"water ballons, 6 water guns, 6 sponges, kiddie pool, slime",,,,Materials,"3 canvases, paintball guns, painters tape, sharpies/markers, glitter, colored paper",,,,Materials,"Pizza dough, marinara sauce, olives, cheese, pepperoni, basil, onion, bell peppers",,,,Materials,"Katana, tarp, blender, ice, spoons, 3 bowls, ladle",,,,Materials,"6 face masks, nail polish, henna, hair tinsel"
,Location,Field - Tiny,,,,Location,Ancient Weaponry,,,,Location,Outdoor Kitchen,,,,Location,Field - Tiny,,,,Location,Hot Rocks
,Notes,,,,,Notes,Paintball HERO,,,,Notes,ODK HERO or Nelly,,,,Notes,"tiny, then dining area. Katana HERO needed",,,,Notes
,HEROES,,,,,HEROES,Paintball  Setup,,,,HEROES,Nelly,,,,HEROES,Village Heroes,,,,HEROES
M3,Activity,Make Cabin Shirts,,,,Activity,Hot Rocks Spa Day,,,,Activity,Make Horse Cookies,,,,Activity,Horse Makeover,,,,Activity,Poles course picnic
,Description,Matching shirts for cabin,,,,Description,Chill and get pretty at Hot Rocks,,,,Description,Give Horse good food,,,,Description,"Hair tinsel horse? Emo horse, paint a horse",,,,Description,Picnic on Poles course
,Materials,"6 white shirts, fabric markers",,,,Materials,"Henna, Hair tinsel, Spa Supplies, Blankets",,,,Materials,"Oat, Apples, Molasses, Anything else ask EQ",,,,Materials,"Hair tinsel, horse paint, horse nailpolish, hair ties",,,,Materials,Picnic
,Location,Craft Shack 1,,,,Location,Hot Rocks,,,,Location,Dining Area 1,,,,Location,Horses,,,,Location,Poles Course
,Notes,,,,,Notes,,,,,Notes,,,,,Notes,EQ Hero,,,,Notes,Poles course facilitator -- maybe rob could check off Hails for PGR during this?
,HEROES,,,,,HEROES,,,,,HEROES,,,,,HEROES,Village Heroes,,,,HEROES,"Hails, Rob"
M4,Activity,Giant swing trivia,,,,Activity,Human darts in the water,,,,Activity,Cabin T shirts,,,,Activity,RH: Human Bowling,,,,Activity,Horse Wedding
,Description,"Answer trivia questions about camp and when someone answers the question wrong, they swing on giant swing and get shot with water guns",,,,Description,"Create circle targets out of pool noodles (different sizes), and then try to jump in to the circles off of rope swing and get the most points",,,,Description,Write on shirts and tie dye them to create a cabin tshirts,,,,Description,Play human bowling,,,,Description,Get two horses married and dress them up for it and then have a ceremony
,Materials,"5 water guns, trivia questions about camp",,,,Materials,"Pool noodles, duct tape (or something to connect them)",,,,Materials,"6 white tshirts, paint pens, tie dye",,,,Materials,Bowling pins,,,,Materials,"2 horses, place to get married, bench for ceremony, flowers, hair ties, costumes, runway"
,Location,Giant Swing,,,,Location,Lake - Swing,,,,Location,Craft Shack 1,,,,Location,Slip n Slide,,,,Location,Horses
,Notes,Giant swing facilitators,,,,Notes,LG and ropeswing facilitator,,,,Notes,Tie Dye,,,,Notes,Slip n slide facilitator (strong hero who knows component -- maybe elsa?) I prefer when we get someone to join for extra safety measure but can also give Jana KM,,,,Notes,Horses
,HEROES,"Giants Swing 1st, Pole Course On ground",,,,HEROES,LIFEGUARD,,,,HEROES,Tie Dye,,,,HEROES,"Elsa, Jana, Slip n Slide",,,,HEROES
M5,Activity,Stuffed animal making,,,,Activity,Low Ropes,,,,Activity,Painting horses and braiding hair,,,,Activity,Crazy candles,,,,Activity,Fruit Ninja and miracle berry taste test
,Description,Make stuffed animals,,,,Description,,,,,Description,Painting horses and braiding their hair,,,,Description,Make candles crazy candle style,,,,Description,Cut fruit in fruit ninja style and taste test them with miracle berries
,Materials,"Old stuffed animals, fabric, sewing materials, fabric glue or hot glue, buttons, fabric markers",,,,Materials,,,,,Materials,"Horse safe paint, hair chalk",,,,Materials,"Gloves, balloons, pinecones, leaves, weird stuff to dip",,,,Materials,"Oranges, apples, bananas, small melon, lemons, miracle berries"
,Location,Craft Shack 2,,,,Location,Low Ropes 1,,,,Location,Horses,,,,Location,Craft Shack 1,,,,Location,Parking Lot
,Notes,,,,,Notes,Lisa requested,,,,Notes,Horses,,,,Notes,Crazy candle facilitator,,,,Notes,Catana
,HEROES,,,,,HEROES,Lisa,,,,HEROES,,,,,HEROES,Candle making,,,,HEROES
P1,Activity,AW and T-Range,,,,Activity,Slip n slide with bowling pins,,,,Activity,Wrestling on mats with bubble suits,,,,Activity,Hunt Down Tyson,,,,Activity,Snorkling at Secret Pool
,Description,Try to use every weapon in AW and T-range (besides corssbow) in one hour,,,,Description,slip n slide with bowling pins,,,,Description,Campers wrestle with bubbles on the lake mats,,,,Description,Campers and Counslor hgunt down the dnagerous and wild VL Tyson,,,,Description,"Snorkle at secret pool, looking for small objects"
,Materials,Normal clinoic supplies,,,,Materials,All inflatble pins,,,,Materials,2x inflatable bubbles,,,,Materials,"5x paintball, 6x masks",,,,Materials,"15x handheld sized objects to throw in water, 5x goggles and snorkles, 5x flippers"
,Location,Throwing Range,,,,Location,Slip n Slide,,,,Location,Lake - Mats,,,,Location,Back 40 1,,,,Location,Secret Pool
,Notes,Liam is checked off,,,,Notes,,,,,Notes,LG and Bubble Suit HERO,,,,Notes,Paintball HERO,,,,Notes,LG
,HEROES,,,,,HEROES,,,,,HEROES,LIFEGUARD,,,,HEROES,Paintball  Setup,,,,HEROES,LIFEGUARD
P2,Activity,Rubberband Watermelon,,,,Activity,Rc Boat Race and Games,,,,Activity,Picnic Floatie Party at the Falls,,,,Activity,Monster Building & Setting on FIre,,,,Activity,Liquid Nitrogen Ice Cream
,Description,Cover a watermelon w/ rubber bands until it explodes,,,,Description,Play with RC boats at the lake,,,,Description,"Chill at the Falls, with a picnic",,,,Description,"Build a monstor out of sticks, pinecones, etc. and burn it to save camp augusta",,,,Description,Salted caramel ice cream
,Materials,"Watermelon, rubber bands, tarp, box with holes cut in, goggles (6x)",,,,Materials,RC boats,,,,Materials,"Floaties, balnkets, picnic",,,,Materials,"flamethrower, sticks, pinecones, twine, tape",,,,Materials,"Liquid nitrogen stuff, salted caramel/flavoring"
,Location,Dining Area 2,,,,Location,Lake - Outer 1,,,,Location,The Falls - Bottom,,,,Location,Campfire Circle,,,,Location,Dining Area 1
,Notes,,,,,Notes,Leandro is a LG,,,,Notes,Leandro is a LG,,,,Notes,Firemaking HERO,,,,Notes,Liq nit hero
,HEROES,,,,,HEROES,,,,,HEROES,,,,,HEROES,Firemaking,,,,HEROES,Village Heroes
