Clinic_Name,Slots,Staff_Requested,RAL_Required,Category
Balloon Twisting,6,1,1,Arts
Bead Working,6,1,1,Arts
Blacksmithing (DBL),4,1,5,Arts
Block Printing,6,1,3,Arts
Candle Making,6,1,1,Arts
Ceramics Glaze,8,1,1,Arts
Ceramics Slab/Sculpture,6,1,1,Arts
Ceramics Wheel,4,1,1,Arts
Ceramics Course,4,1,1,Arts
Clothing Alterations,6,1,1,Arts
Embroidery,6,1,1,Arts
Fabric Marbling,6,1,1,Arts
Felting,6,1,1,Arts
Glass Fusing,6,1,3,Arts
Jewelry Smithing (DBL),4,1,4,Arts
Jewelry Smithing Course,4,1,4,Arts
Knitting,6,1,1,Arts
Lampworking (DBL),4,1,5,Arts
Lampworking Course,4,1,5,Arts
Lampworking: Bead Making,4,1,5,Arts
Lathe Woodworking,5,1,4,Arts
Lathe: Cup Making (DBL),5,1,4,Arts
Lathe: Pen Making,5,1,4,Arts
Leatherworking (DBL),4,1,1,Arts
Leather Keychains,6,1,1,Arts
Pine Needle Art,6,1,1,Arts
Polymer Clay,6,1,1,Arts
Puppet Making,6,1,1,Arts
Shibori,6,1,1,Arts
Stained Glass (DBL),4,1,5,Arts
Tie Dye,6,1,1,Arts
Watercolor,6,1,1,Arts
Wet Felting,6,1,1,Arts
Wire Jewelry,6,1,1,Arts
Woodburning,6,1,1,Arts
Craft Fairy,0,1,1,Arts
Bee Keeping,5,1,1,Outdoor
Firemaking,6,1,1,Outdoor
HMM Bite & Sting,8,1,1,Outdoor
HMM Boo Boo Goo,8,1,1,Outdoor
HMM Lip Balm,8,1,1,Outdoor
HMM Lotion,8,1,1,Outdoor
ODK Bread,8,1,1,Outdoor
Soap Making,6,1,5,Outdoor
Plant & Animal Farm,8,1,1,Outdoor
Mountain Biking 1,6,1,5,Rolling
Mountain Biking 2,6,1,5,Rolling
Mountaing Biking 3,6,1,5,Rolling
Mountain Boarding 1 & 2,6,1,4,Rolling
Dance and Choreography,9,1,1,Performance
Drama/Improv,12,1,1,Performance
Salsa,15,2,11,Performance
Guitar,6,1,1,Performance
Kalimba,6,1,1,Performance
Native Flute,6,1,1,Performance
Ukulele,6,1,1,Performance
Dungeons and Dragons (DBL),6,1,1,Tabletop
Dungeons and Dragons 12+ (DBL),6,1,1,Tabletop
Ancient Weaponry,6,1,4,Weapons
Archery 1 & 2,11,1,4,Weapons
Archery 3 ,8,1,4,Weapons
Archery 4 & 5,8,1,4,Weapons
Archery Clout,8,1,4,Weapons
AtlAtl 1 & 2,8,1,4,Weapons
Atl Atl 3,8,1,4,Weapons
Muay Thai,5,2,54,Weapons
Quarter Staff,8,1,4,Weapons
Riflery,8,1,4,Weapons
Sword Fighting 1 & 2,10,1,4,Weapons
Sword Fighting 3,8,1,4,Weapons
Throwing Range,8,1,4,Weapons
Battle Royale,20,2,44,Weapons
Battle Royale Setup/Breakdown,0,1,1,Weapons
Aerial Yoga,11,1,4,Relaxation
Yoga,11,1,1,Relaxation
Canoe 1,8,1,5,Water
Canoe 1 & 2,8,1,5,Water
Crazy Canoe,8,1,5,Water
Hot Rocks,10,1,4,Water
