TUESDAY
Clinic 1 ,slots ,staff,Clinic 2,slots ,staff,Clinic 3,slots ,staff,Clinic 4,slots ,staff
Ancient Weaponry,6.0,1.0,,,,,,,Ancient Weaponry,6.0,1.0
,,,Archery 1 & 2,11.0,1.0,Archery 1 & 2,11.0,1.0

,,,Riflery,8.0,1.0,Riflery,8.0,1.0,Riflery,8.0,1.0
Throwing Range,8.0,1.0,Throwing Range,8.0,1.0
Canopy Tour (DBL),5.0,2.0,Canopy Tour (DBL),5.0,2.0,Canopy Tour (DBL),5.0,2.0,Canopy Tour (DBL),5.0,2.0
Climbing Wall,6.0,2.0,,,,Climbing Wall,6.0,2.0,Climbing Wall,6.0,2.0
Giant's Junkyard,6.0,2.0,Giant's Junkyard,6.0,2.0,,,,Giant's Junkyard,6.0,2.0
Giant Swing,6.0,2.0,,,,,,,Giant Swing,6.0,2.0
,,,Gravity Zip Line,6.0,2.0,Gravity Zip Line,6.0,2.0
,,,Leap of Faith,5.0,1.0,,,,Leap of Faith,5.0,1.0

Skyscraper,4.0,2.0,,,,,,,Skyscraper,4.0,2.0
Lvl. 2 on Ground,0.0,1.0,Lvl. 2 on Ground,0.0,1.0,Lvl. 2 on Ground,0.0,1.0,Lvl. 2 on Ground,0.0,1.0

,,,,,,Dungeons and Dragons (DBL),6.0,1.0,Dungeons and Dragons (DBL),6.0,1.0
,,,,,,,,,Ninja Training 1,8.0,1.0
,,,Aerial Silks Ground,8.0,2.0,Unicycle,5.0,1.0
,,,,,,Lyra Beg,8.0,2.0
Aerial Bungee,6.0,2.0,Aerial Bungee,6.0,2.0
Aerial Yoga,11.0,1.0,Aerial Yoga,11.0,1.0,,,,Spin Jam,6.0,1.0
ODK Bread,8.0,1.0,ODK Bread,8.0,1.0,HMM Bite & Sting,8.0,1.0,HMM Boo Boo Goo,8.0,1.0
Plant & Animal Farm,8.0,1.0
,,,The Falls,10.0,1.0,Swim for Fun,10.0,1.0,Rope Swing,8.0,2.0
,,,,,,Trampoline Spotter,0.0,1.0,Crazy Canoe,8.0,2.0
Horseback Riding L1 - Arena,5.0,2.0,Horseback Riding L1 - Arena,5.0,2.0,Horse Care,6.0,2.0,Horseback Riding L1 - Arena,5.0,2.0
Bead Working,6.0,1.0

Candle Making,6.0,1.0,Candle Making,6.0,1.0,Candle Making,6.0,1.0,Candle Making,6.0,1.0
Ceramics Wheel,4.0,1.0,Ceramics Wheel,4.0,1.0,Ceramics Slab/Sculpture,6.0,1.0,Embroidery,6.0,1.0
,,,Embroidery,6.0,1.0,Leatherworking (DBL),4.0,1.0,Leatherworking (DBL),4.0,1.0
,,,Lathe Woodworking,5.0,1.0,,,,Lathe Woodworking,5.0,1.0
Felting,6.0,1.0,,,,Felting,6.0,1.0
,,,,,,Glass Fusing,6.0,1.0

,,,Polymer Clay,6.0,1.0

Stained Glass (DBL),4.0,1.0,Stained Glass (DBL),4.0,1.0,Puppet Making,6.0,1.0
Tie Dye,6.0,1.0,,,,,,,Tie Dye,6.0,1.0
,,,Wire Jewelry,6.0,1.0,Watercolor,6.0,1.0,Wire Jewelry,6.0,1.0
Woodburning,6.0,1.0,,,,Woodburning,6.0,1.0
,117,27,,134,27,,125,26,,128,30

,6.0,1.0,Guitar,6.0,1.0,Bead Working,6.0,1.0,Throwing Range,8.0,1.0
,11.0,1.0,Shibori,6.0,1.0,Lampworking (DBL),4.0,1.0,Lampworking (DBL),4.0,1.0
,6.0,1.0,,,,,,,Polymer Clay,6.0,1.0
,8.0,2.0
