WEDNESDAY
Clinic 1 ,slots ,staff,Clinic 2,slots ,staff,Clinic 3,slots ,staff,Clinic 4,slots ,staff
,,,Ancient Weaponry,6.0,1.0,,,,Ancient Weaponry,6.0,1.0
Archery 1 & 2,11.0,1.0,,,,Archery 1 & 2,11.0,1.0,Archery 1 & 2,11.0,1.0
,,,Riflery,8.0,1.0,Riflery,8.0,1.0
Throwing Range,8.0,1.0
Sword Fighting 1 & 2,10.0,1.0
Canopy Tour (DBL),5.0,2.0,Canopy Tour (DBL),5.0,2.0,Canopy Tour (DBL),5.0,2.0,Canopy Tour (DBL),5.0,2.0
Giant's Junkyard,6.0,2.0,Giant's Junkyard,6.0,2.0
Giant Swing,6.0,2.0,,,,,,,Giant Swing,6.0,2.0
Gravity Zip Line,6.0,2.0,Gravity Zip Line,6.0,2.0,,,,Gravity Zip Line,6.0,2.0

,,,Leap of Faith,5.0,1.0,,,,Leap of Faith,5.0,1.0

Skyscraper,4.0,2.0,,,,,,,Skyscraper,4.0,2.0
,,,,,,Tree Climbing,5.0,1.0,Tree Climbing,5.0,1.0
Lvl. 2 on Ground,0.0,1.0,Lvl. 2 on Ground,0.0,1.0,Lvl. 2 on Ground,0.0,1.0,Lvl. 2 on Ground,0.0,1.0
Aerial Yoga,11.0,1.0,,,,Lyra Beg,8.0,2.0,Aerial Yoga,11.0,1.0
Stilt Walking,5.0,1.0,,,,Circus Whip 1 & 2,5.0,1.0
Aerial Silks Ground,8.0,2.0,Aerial Silks Ground,8.0,2.0,,,,Slackline,5.0,1.0
,,,Agility Course,12.0,2.0,Ninja Training 1,8.0,1.0
ODK Bread,8.0,1.0,ODK Bread,8.0,1.0,HMM Boo Boo Goo,8.0,1.0,HMM Bite & Sting,8.0,1.0
Plant & Animal Farm,8.0,1.0
Horseback Riding L2 - Arena,5.0,2.0,Horseback Riding L1 - Arena,5.0,2.0,Horseback Riding L1 - Trail,4.0,2.0,Horseback Riding L1 - Arena,5.0,2.0
,,,,,,Dungeons and Dragons (DBL),6.0,1.0,Dungeons and Dragons (DBL),6.0,1.0

,,,Canoe,8.0,2.0,Swim for Fun,20.0,2.0,Crazy Canoe,8.0,2.0
,,,The Falls,10.0,1.0,Trampoline Spotter,0.0,1.0
Bead Working,6.0,1.0,Block Printing,6.0,1.0,Balloon Twisting,6.0,1.0

Candle Making,6.0,1.0,Candle Making,6.0,1.0,Candle Making,6.0,1.0,Candle Making,6.0,1.0
,,,,,,Embroidery,6.0,1.0
,,,Felting,6.0,1.0,,,,Felting,6.0,1.0
Glass Fusing,6.0,1.0,,,,Glass Fusing,6.0,1.0

,,,Lathe Woodworking,5.0,1.0,,,,Lathe: Pen Making,5.0,1.0

,,,,,,Jewelry Smithing (DBL),4.0,1.0,Jewelry Smithing (DBL),4.0,1.0
,,,,,,Leatherworking (DBL),4.0,1.0,Leatherworking (DBL),4.0,1.0
Polymer Clay,6.0,1.0,,,,,,,Polymer Clay,6.0,1.0
,,,Puppet Making,6.0,1.0,Puppet Making,6.0,1.0
Shibori,6.0,1.0,,,,Shibori,6.0,1.0
,,,Tie Dye,6.0,1.0,,,,Tie Dye,6.0,1.0
,,,Watercolor,6.0,1.0
Wire Jewelry,6.0,1.0,,,,Wire Jewelry,6.0,1.0
,,,Woodburning,6.0,1.0,,,,Woodburning,6.0,1.0
,137,28,,134,28,,138,26,,134,29

,4.0,1.0,Throwing Range,8.0,1.0,Juggling,6.0,1.0,Riflery,8.0,1.0
,5.0,1.0,Guitar,6.0,1.0,,,,Mountain Boarding 1 & 2,6.0,1.0
