Clinic_Name,1st,2nd,3rd
Balloon Twisting,Balloon Twisting
Bead Working,Bead working
Blacksmithing (DBL),Blacksmithing
Block Printing,Block Printing
Candle Making,Candle Making
Ceramics Glaze,Ceramics Glaze
Ceramics Slab/Sculpture,Any
Ceramics Wheel,Ceramics Wheel
Ceramics Course,Ceramics Wheel
Clothing Alterations,Clothing alterations
Embroidery,Embroidery
Fabric Marbling,Fabric/Paper marble
Felting,Any
Glass Fusing,Fabric/Paper marble
Jewelry Smithing (DBL),Jewelry Smithing
Jewelry Smithing Course,Jewelry Smithing
Knitting,Any
Lampworking (DBL),Lampworking
Lampworking Course,Lampworking
Lampworking: Bead Making,Any
Lathe Woodworking,Lathe Woodworking
Lathe: Cup Making (DBL),Lathe: Cup Making
Lathe: Pen Making,Lathe: Pen Making
Leatherworking (DBL),Leatherworking
Leather Keychains,Leatherworking
Pine Needle Art,Pine Needle Weaving
Polymer Clay,Polymer Clay
Puppet Making,Puppet Making
Shibori,Shibori tie dye
Stained Glass (DBL),Stained Glass
Tie Dye,Tie Dye
Watercolor,Shibori tie dye
Wet Felting,Stained Glass
Wire Jewelry,Wire Jewelry
Woodburning,Wood Burning
Craft Fairy,Any
Bee Keeping,Bee Keeping
Firemaking,Firemaking
HMM Bite & Sting,Bite and Sting
HMM Boo Boo Goo,Any
HMM Lip Balm,Any
HMM Lotion,Bite and Sting
ODK Bread,Any
Soap Making,Soap Making
Plant & Animal Farm,Plant & Animal Farm
Mountain Biking 1,Any
Mountain Biking 2,Any
Mountaing Biking 3,Any
Mountain Boarding 1 & 2,Mountain Boarding
Dance and Choreography,Any
Drama/Improv,Drama/Improv
Salsa,Any,Any
Guitar,Guitar
Kalimba,Any
Native Flute,Native Flute
Ukulele,Ukulele
Dungeons and Dragons (DBL),Dungeons and Dragons
Dungeons and Dragons 12+ (DBL),Dungeons and Dragons
Ancient Weaponry,Ancient Weaponry
Archery 1 & 2,Archery 1 & 2
Archery 3 ,Dungeons and Dragons
Archery 4 & 5,Dungeons and Dragons
Archery Clout,Archery Clout
AtlAtl 1 & 2,Any
Atl Atl 3,Any
Muay Thai,Any,Any
Quarter Staff,Quarterstaff
Riflery,Riflery
Sword Fighting 1 & 2,Sword Fighting lvl 1
Sword Fighting 3,Sword Fighting lvl 2+
Throwing Range,Throwing Range
Battle Royale,Battle Royale,Battle Royale
Battle Royale Setup/Breakdown,Battle Royale
Aerial Yoga,Any
Yoga,Yoga
Canoe 1,Canoe,LIFEGUARD
Canoe 1 & 2,Canoe,LIFEGUARD
Crazy Canoe,Crazy Canoe,LIFEGUARD
Hot Rocks,Any
Rope Swing,Canoe,LIFEGUARD
Swim for Fun,LIFEGUARD,LIFEGUARD,LIFEGUARD
The Falls,Any
Secret Pool,LIFEGUARD
Canopy Tour (DBL),Canopy Tour 1st,Canopy Tour 2nd
Climbing Wall,Ground Belay 1st CW,Ground Belay 2nd
Crow's Nest (DBL),Any,Ground Belay 2nd
Giant's Junkyard,Ground Belay 1st GJ,Ground Belay 2nd
Giant Swing,Giants Swing 1st,Giants Swing 2nd
Gravity Zip Line,Gravity Zip Line 1st,Gravity Zip Line 2nd
Leap of Faith,Leap of Faith
Pole Course Explore Level 1 & 2 (DBL),Pole Course 1st,Pole Course 2nd,Pole Course 2nd
Pole Course Explore Level 2 & 3 (DBL),Pole Course 1st,Pole Course 2nd,Pole Course 2nd
Pole Course Level 1,Pole Course 1st,Pole Course 2nd,Pole Course 2nd
Pole Course Level 2,Pole Course 1st,Pole Course 2nd,Pole Course 2nd
Pole Course Level 3,Pole Course 1st,Pole Course 2nd,Pole Course 2nd
Skyscraper,Ground Belay 1st SS,Ground Belay 2nd
Tree Climbing,Any
Lvl. 2 on Ground,Any
Agility Course,Agility Course,Agility Course
Ninja Training Level 1,Any
Ninja Training Level 2,Any
Ninja Training Level 3,Any
Parkour,Parkour
Slackline,Slackline
Aerial Silks Ground,Aerial Silks - Ground 1st,Aerial Silks - Ground 2nd
Aerial Silks Air,Aerial Silks - Air 1st,Aerial Silks - Air 2nd
Aerial Silks Sky,Aerial Silks - Air 1st,Aerial Silks - Air 2nd
Aerial Silks Course,Aerial Silks - Air 1st,Aerial Silks - Air 2nd
Aerial Bungee,Aerial Silks - Ground 1st,Aerial Silks - Ground 2nd
Circus Whip 1 & 2,Circus Whip
Juggling,Juggling
Lyra Beg,Aerial Silks - Air 1st,Aerial Silks - Air 2nd
Lyra Int,Aerial Bungee 1st,Aerial Bungee 2nd
Poi,Poi
Staff,Staff
Stilt Walking,Stilt Walking,Stilt Walking
Spin Jam,Spin Jam,Spin Jam
Unicycle,Unicycle
Horseback Riding L1 - Arena,Any,Any
Horseback Riding L1 - Trail,Any,Any
Horseback Riding L2 - Arena,Any,Any
Horseback Riding L2 - Trail,Any,Any
Horseback Riding L3- Arena,Any,Any
Horseback Riding L3 - Trail (DBL),Any,Any
Horseback Riding L4 - Arena,Any,Any
Horse Bubble Bath,Any,Any
Horse Course,Any,Any
Horse Archery,Any,Any
